country,quarter,gdp_growth
USA,2020-03-31,4.020163761818893
USA,2020-06-30,-4.113467236614637
USA,2020-09-30,3.1218541813634353
USA,2020-12-31,-7.161339729829235
USA,2021-03-31,1.8608034917205654
USA,2021-06-30,-2.035984550721393
USA,2021-09-30,-0.8027812487160695
USA,2021-12-31,-0.6876618110148858
India,2020-03-31,-8.464833159976513
India,2020-06-30,3.535266734222379
India,2020-09-30,-2.5767027432891467
India,2020-12-31,-6.873868690704278
India,2021-03-31,-9.274686753052446
India,2021-06-30,-0.37734745593082764
India,2021-09-30,-4.117533765990682
India,2021-12-31,-7.976018277899762
Brazil,2020-03-31,-8.941952971159697
Brazil,2020-06-30,1.6685216644745573
Brazil,2020-09-30,0.14728134537657667
Brazil,2020-12-31,4.148998430447461
Brazil,2021-03-31,3.000285367993719
Brazil,2021-06-30,-1.4909458667840738
Brazil,2021-09-30,-9.303708314226416
Brazil,2021-12-31,-5.374970846929654
Germany,2020-03-31,4.697008682120513
Germany,2020-06-30,-1.0793752332808797
Germany,2020-09-30,-5.994264277708043
Germany,2020-12-31,-7.907949357239852
Germany,2021-03-31,-5.911450319148744
Germany,2021-06-30,-7.457724363526907
Germany,2021-09-30,-4.393747186900493
Germany,2021-12-31,-5.017114247779126
Japan,2020-03-31,-6.711234802858295
Japan,2020-06-30,-7.2789601743260395
Japan,2020-09-30,-8.970370986068477
Japan,2020-12-31,-0.5288565528437807
Japan,2021-03-31,-8.574581880372413
Japan,2021-06-30,1.3847683154301862
Japan,2021-09-30,0.6698270082078146
Japan,2021-12-31,-5.498286891715657
